Year,Month,Day,MinTemp,MaxTemp,Precipitation,Snowfall
1869,1,1,-72,-17,191,229
1869,1,2,-61,-28,8,0
1869,1,3,-11,17,0,0
1869,1,4,11,17,46,0
1869,1,5,33,61,13,0
1869,1,6,11,33,0,0
1869,1,7,17,89,0,0
1869,1,8,44,122,0,0
1869,1,9,33,89,0,0
1869,1,10,22,67,3,0
1869,1,11,-11,11,0,0
1869,1,12,-17,28,216,0
1869,1,13,-22,33,0,0
1869,1,14,0,56,0,0
1869,1,15,39,56,10,0
1869,1,16,0,33,0,0
1869,1,17,-17,17,0,3
1869,1,18,-33,-17,0,0
1869,1,19,-28,11,38,152
1869,1,20,-11,28,0,0
1869,1,21,-11,56,0,0
1869,1,22,-83,-28,0,0
1869,1,23,-67,39,0,0
1869,1,24,17,89,0,0
1869,1,25,-56,33,0,0
1869,1,26,-78,-6,0,0
1869,1,27,-50,44,0,0
1869,1,28,17,83,0,0
1869,1,29,-11,89,0,0
1869,1,30,67,122,119,0
1869,1,31,-11,28,0,0
1869,2,1,-39,6,0,0
1869,2,2,-56,11,0,0
1869,2,3,17,22,0,0
1869,2,4,-61,33,394,28
1869,2,5,-56,-39,0,0
1869,2,6,-28,44,0,0
1869,2,7,-50,22,0,0
1869,2,8,-39,44,0,0
1869,2,9,11,33,0,0
1869,2,10,11,39,216,0
1869,2,11,33,78,13,0
1869,2,12,22,89,0,0
1869,2,13,44,161,0,0
1869,2,14,17,56,0,0
1869,2,15,0,61,660,0
1869,2,16,22,67,0,0
1869,2,17,11,78,0,0
1869,2,18,-11,50,137,51
1869,2,19,-11,56,15,13
1869,2,20,0,39,0,0
1869,2,21,6,44,0,0
1869,2,22,33,100,0,0
1869,2,23,6,67,142,0
1869,2,24,-28,33,0,0
1869,2,25,-33,33,0,0
1869,2,26,-6,11,168,152
1869,2,27,-56,-6,0,0
1869,2,28,-83,-39,0,0
1869,2,29,-9999,-9999,-9999,-9999
1869,2,30,-9999,-9999,-9999,-9999
1869,2,31,-9999,-9999,-9999,-9999
1869,3,1,-156,-33,0,0
1869,3,2,-72,22,5,0
1869,3,3,-22,61,0,0
1869,3,4,-72,67,25,0
1869,3,5,-117,17,0,0
1869,3,6,-67,22,8,20
1869,3,7,-67,-33,0,0
1869,3,8,-33,33,0,0
1869,3,9,0,78,0,0
1869,3,10,33,83,269,0
1869,3,11,-22,28,0,0
1869,3,12,-28,33,0,0
1869,3,13,6,111,0,0
1869,3,14,28,89,5,0
1869,3,15,-39,-11,46,0
1869,3,16,-33,39,0,0
1869,3,17,-6,56,0,0
1869,3,18,-44,22,0,0
1869,3,19,11,56,0,0
1869,3,20,22,89,71,0
1869,3,21,-61,-11,0,0
1869,3,22,-61,17,0,0
1869,3,23,0,44,241,0
1869,3,24,17,100,0,0
1869,3,25,6,78,0,0
